Set Id (Dimension Set.Csv),Dim Name 1,Dim Value 1,Dim Name 2,Dim Value 2,Dim Name 3,Dim Value 3,Dim Name 4,Dim Value 4,Dim Name 5,Dim Value 5,Dim Name 6,Dim Value 6,Measure Id (Measure.Csv),Name,Description,Source Name,Value,Result Name,Set Id,Measure Id
8357,DX,526.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,348,name=COUNT,8357,17
8358,DX,Y5849Y,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8358,17
8359,DX,866.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8359,17
8360,DX,380.5,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,54,name=COUNT,8360,17
8361,DX,38300,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8361,17
8362,DX,284.01,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8362,17
8363,DX,655.13,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,337,name=COUNT,8363,17
8364,DX,863.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8364,17
8365,DX,208,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,42,name=COUNT,8365,17
8366,DX,600,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,550,name=COUNT,8366,17
8367,DX,755.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8367,17
8368,DX,301.3,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,93,name=COUNT,8368,17
8369,DX,664.51,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8369,17
8370,DX,V64.06,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,20,name=COUNT,8370,17
8371,DX,878.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,8,name=COUNT,8371,17
8372,DX,65641,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8372,17
8373,DX,737.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8373,17
8374,DX,V45.85,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8374,17
8375,DX,224.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8375,17
8376,DX,566,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,115,name=COUNT,8376,17
8377,DX,627.3,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,180,name=COUNT,8377,17
8378,DX,386.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,29,name=COUNT,8378,17
8379,DX,923.03,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,80,name=COUNT,8379,17
8380,DX,927.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,10,name=COUNT,8380,17
8381,DX,942.21,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,5,name=COUNT,8381,17
